start_time,end_time,labelid,label,duration
0.54,1.06,1,Gesture,0.52
2.58,3.18,2,Gesture,0.6000000000000001
4.86,7.18,3,Gesture,2.3199999999999994
7.86,15.42,4,Gesture,7.56
15.46,15.82,5,Move,0.35999999999999943
